Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 1,Non,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Partial Reversible
Rule: 2,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 3,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 4,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 5,Non,Non,Non,Non,Non,Non,Non,Reversible,Non,Partial Reversible
Rule: 6,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 7,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 8,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 9,Non,Non,Non,Non,Non,Non,Non,Reversible,Non,Partial Reversible
Rule: 10,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 11,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 12,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 13,Non,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Partial Reversible
Rule: 14,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 15,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 18,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 19,Non,Non,Non,Non,Non,Reversible,Non,Non,Reversible,Partial Reversible
Rule: 22,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 23,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 24,Reversible,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Partial Reversible
Rule: 25,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 26,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 27,Non,Non,Reversible,Non,Non,Non,Non,Reversible,Non,Partial Reversible
