Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 0,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 1,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 2,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 3,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 4,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 5,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 6,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 7,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 8,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 9,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 10,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 11,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 12,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 13,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 14,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 15,Non,Non,Non,Non,Non,Non,Non,Reversible,Non,Partial Reversible
Rule: 18,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 19,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 22,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 23,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 24,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 25,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 26,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 27,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 28,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 29,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 30,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 32,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 33,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 34,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 35,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 36,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 37,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 38,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 40,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 41,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 42,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 43,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 44,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 45,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 46,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 50,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 51,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 54,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 56,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 57,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 58,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 60,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 72,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 73,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
