Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 0,Non,Non,Reversible,Non,Reversible,Non,Non,Non,Non,Partial Reversible
Rule: 1,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Partial Reversible
Rule: 2,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 3,Non,Non,Reversible,Non,Non,Reversible,Non,Non,Non,Partial Reversible
Rule: 4,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 5,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 6,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 7,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 8,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 9,Non,Non,Non,Non,Non,Non,Reversible,Non,Non,Partial Reversible
Rule: 10,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 11,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 12,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 13,Reversible,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Partial Reversible
Rule: 14,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 15,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 18,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 19,Reversible,Reversible,Non,Non,Non,Reversible,Non,Reversible,Non,Partial Reversible
Rule: 22,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 23,Reversible,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Partial Reversible
Rule: 24,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 25,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 26,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 27,Non,Reversible,Reversible,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 28,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 29,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 30,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 32,Non,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 33,Reversible,Reversible,Non,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 34,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 35,Non,Non,Non,Reversible,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 36,Reversible,Reversible,Non,Reversible,Reversible,Non,Non,Non,Non,Partial Reversible
Rule: 37,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 38,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 40,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 41,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 42,Non,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 43,Non,Reversible,Non,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 44,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 45,Non,Non,Non,Reversible,Non,Non,Non,Non,Non,Partial Reversible
Rule: 46,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 50,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 51,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 54,Non,Reversible,Non,Non,Non,Non,Reversible,Non,Non,Partial Reversible
Rule: 56,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 57,Reversible,Non,Non,Reversible,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 58,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 60,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 72,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 73,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 74,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 76,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
