Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 0,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 1,Reversible,Reversible,Non,Reversible,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 2,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 3,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Partial Reversible
Rule: 4,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 5,Reversible,Reversible,Non,Non,Reversible,Reversible,Reversible,Reversible,Non,Partial Reversible
Rule: 6,Reversible,Reversible,Reversible,Non,Non,Non,Non,Reversible,Non,Partial Reversible
Rule: 7,Non,Non,Reversible,Non,Reversible,Non,Non,Non,Reversible,Partial Reversible
Rule: 8,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 9,Reversible,Non,Non,Non,Non,Reversible,Non,Non,Non,Partial Reversible
Rule: 10,Non,Non,Non,Reversible,Non,Non,Non,Non,Non,Partial Reversible
Rule: 11,Reversible,Reversible,Non,Non,Non,Reversible,Non,Reversible,Non,Partial Reversible
Rule: 12,Non,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Partial Reversible
Rule: 13,Reversible,Reversible,Non,Reversible,Reversible,Non,Non,Non,Reversible,Partial Reversible
Rule: 14,Reversible,Non,Reversible,Reversible,Non,Non,Non,Non,Non,Partial Reversible
Rule: 15,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 18,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 19,Non,Reversible,Reversible,Reversible,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 22,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 23,Reversible,Reversible,Reversible,Non,Non,Non,Reversible,Reversible,Reversible,Partial Reversible
Rule: 24,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 25,Reversible,Reversible,Reversible,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 26,Reversible,Non,Reversible,Non,Reversible,Non,Non,Non,Non,Partial Reversible
Rule: 27,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non,Partial Reversible
Rule: 28,Non,Non,Non,Non,Reversible,Non,Non,Non,Non,Partial Reversible
Rule: 29,Reversible,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Partial Reversible
Rule: 30,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 32,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 33,Non,Non,Non,Reversible,Non,Non,Reversible,Non,Reversible,Partial Reversible
Rule: 34,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 35,Non,Reversible,Reversible,Non,Non,Reversible,Reversible,Reversible,Reversible,Partial Reversible
Rule: 36,Reversible,Reversible,Reversible,Non,Reversible,Non,Non,Non,Non,Partial Reversible
Rule: 37,Reversible,Reversible,Reversible,Reversible,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 38,Non,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 40,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 41,Non,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Partial Reversible
Rule: 42,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 43,Reversible,Reversible,Non,Non,Non,Reversible,Reversible,Reversible,Reversible,Partial Reversible
Rule: 44,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 45,Reversible,Reversible,Non,Non,Reversible,Reversible,Non,Reversible,Reversible,Partial Reversible
Rule: 46,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 50,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
