Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 0,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 1,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 2,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 3,Non,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Partial Reversible
Rule: 4,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 5,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 6,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 7,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 8,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 9,Non,Non,Non,Non,Non,Non,Non,Reversible,Non,Partial Reversible
Rule: 10,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 11,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non,Partial Reversible
Rule: 12,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 13,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 14,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 15,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 18,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 19,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 22,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 23,Non,Non,Non,Non,Non,Non,Reversible,Non,Non,Partial Reversible
Rule: 24,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 25,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 26,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 27,Non,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 28,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 29,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 30,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 32,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 33,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 34,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 35,Non,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 36,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 37,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 38,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 40,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 41,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 42,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 43,Non,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 44,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 45,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 46,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 50,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 51,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 54,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 56,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 57,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 58,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 60,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 72,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 73,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 74,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 76,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 77,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 78,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 90,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 104,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 105,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 106,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 108,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 128,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 129,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 130,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 131,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 132,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 133,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 134,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 136,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 137,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 138,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 140,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 142,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 146,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 150,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 152,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 154,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 156,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 160,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 161,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 162,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 164,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 168,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 170,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 172,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 178,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 184,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 200,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 204,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 232,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
