Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 1,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 2,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 3,Non,Non,Non,Non,Non,Reversible,Non,Non,Reversible,Partial Reversible
Rule: 4,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 5,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 6,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 7,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 8,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 9,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 10,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 11,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 12,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 13,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 14,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 15,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 18,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 19,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 22,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 23,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 24,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 25,Non,Non,Non,Non,Non,Non,Non,Reversible,Non,Partial Reversible
Rule: 26,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 27,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 28,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 29,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 30,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 32,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 33,Non,Non,Non,Non,Non,Non,Non,Reversible,Non,Partial Reversible
Rule: 34,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 35,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 36,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 37,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 38,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 40,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 41,Non,Non,Reversible,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 42,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 43,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 44,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 45,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 46,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 50,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 51,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
