Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 0,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 1,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 2,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 3,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 4,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 5,Reversible,Non,Non,Non,Non,Reversible,Non,Non,Reversible,Partial Reversible
Rule: 6,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 7,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 8,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 9,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Partial Reversible
Rule: 10,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 11,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 12,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 13,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 14,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 15,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 18,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 19,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 22,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 23,Non,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 24,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 25,Non,Reversible,Non,Non,Non,Non,Non,Reversible,Non,Partial Reversible
Rule: 26,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 27,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 28,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 29,Non,Reversible,Reversible,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 30,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 32,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 33,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Partial Reversible
Rule: 34,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Partial Reversible
Rule: 35,Non,Reversible,Non,Non,Non,Non,Non,Reversible,Non,Partial Reversible
Rule: 36,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 37,Non,Non,Non,Reversible,Non,Non,Non,Reversible,Reversible,Partial Reversible
