Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 74,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 75,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 76,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 77,Non,Reversible,Non,Non,Non,Reversible,Non,Non,Non,Non
Rule: 78,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 79,Reversible,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non
Rule: 80,Reversible,Non,Non,Reversible,Non,Non,Non,Non,Non,Non
Rule: 81,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 82,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 83,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 84,Reversible,Reversible,Non,Non,Reversible,Non,Non,Non,Non,Non
Rule: 85,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Reversible,Non
Rule: 86,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 87,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 88,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 89,Non,Reversible,Reversible,Non,Non,Non,Reversible,Non,Non,Non
Rule: 90,Reversible,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non
Rule: 91,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Reversible,Non
Rule: 92,Reversible,Non,Non,Reversible,Non,Non,Non,Non,Non,Non
Rule: 93,Non,Reversible,Reversible,Non,Reversible,Non,Non,Non,Non,Non
Rule: 94,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 95,Non,Reversible,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 96,Reversible,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non
Rule: 97,Reversible,Reversible,Non,Reversible,Non,Non,Non,Non,Reversible,Non
Rule: 98,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 99,Reversible,Non,Reversible,Non,Non,Non,Non,Reversible,Reversible,Non
